period	blockNumber	tx	coinbaseAddr	submittedAmount	bonusAmount	sum
19381	13647817	0x3a8bf002d91103bad0a05364dbe62adb4c254d59909f177c9b6a714785c223db	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19381	13647837	0xe061cea21c726e78e6fc7e9c71044bd6512ad2750aadba0758fb15c4c0adb0bf	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19381	13647857	0x06ce7c76c27636a963813a4d77dbf21d6a7fe55563f7788419472dbc40868b90	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19381	13647877	0x587dae6f5a0e640b012cbd92d611a60c02865a97b27b4963a6cd04cb10b5fed6	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19381	13647897	0x031c0d234d0ebdd7c876af19a544ba548104931657f643616a605f522ca8aa05	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19381	13647917	0x0cdf2fdae03484ccfcbe9661ee449ddac349cd66776f1b46362c925ab3725b07	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19381	13647937	0xbd4ea0495d6f0bb12cb41a9cd417f611d7648c4516f304a4f1bdfbbf496286bb	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19381	13647957	0x55b7f6e37bc847150119730adc0d1d9c0851655a4da1e92d9808a9e66dd2cee2	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19381	13647977	0x44dcd874dee9c0129180e607b155ef28abfbd962a739cbd95494b76f5dd8d03a	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19381	13647997	0xee3efcd0be212fe9c7014e2ba9e25afd20d610226702e7acd9ad6f5e9e23bf97	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19381	13648017	0x331d638e8f5a46b5756ca45535c0739707edf58b138af614e575888b3e9ec32b	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19381	13648037	0x4e2c62b191f953a37467ae43ff33da6515bcbc6d69b536132e3ffa3fa2c0ce2c	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	10204760000000000	1000000000000000000	1010204760000000000
19381	13648057	0xa0216204209b7af5531fd35906923979157ceee0385aafbf156cf7f7b1ea2bd1	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	31266440000000000	1000000000000000000	1031266440000000000
