period	blockNumber	tx	coinbaseAddr	submittedAmount	bonusAmount	sum
19380	13619017	0x3e7cf7298ac5cbcf9b0e25a4d560b6883670ed4399a3b5b50aa939e67da0a982	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619037	0xcece2bfa0919909b4157cd2a769ac0c6030a4b64f9a96941b528829fb3bfc0e9	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619057	0xa12ab0896c562d32b9bf3779bbe56eb5d9482d6460b5760a601d57f8265c49d5	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619077	0xa1975a526d469548b65fb4acd271c6a932c60f985932fd34a073d33dad26b447	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619097	0xa2bd8e9b1b704bf498771dbc30c9a17043566a2e9a8779646e87afdad63d0759	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619117	0x67cddb5921b425cd9ab4155f2181ab8334ec580b327f680a3e9e0a412ce6b787	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619137	0x9d6632edea4ab4dc207006d28816f610f8470ef583a29029094594780a0f0bac	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619157	0x2097bf2fb1b0b95fde435d705a3b6b904bebcafee68ff8ef2d4367601a4a93fe	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619177	0xd85ae627d95e11ee962be674857c524e64b1547035b5d05a11c70156cd4771c6	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619197	0x87e3de965497cbf12690ca3613b4cacdfb4906a58daaae8cf7ed2b42a9cdda68	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619217	0xfd8acca74e5f24207ab0f01379f65acc47bf09c639825129d1df93b59a6e87de	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619237	0x8d64041aba865885900c155b34fc7eed545f3ba2e3097d53daf757e4a5783aa5	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	16851660000000000	1000000000000000000	1016851660000000000
19380	13619257	0xffbe73ec98f04880140c76b9f5bf2af0854e0354de3b9a8c717432c1101225ca	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619277	0x45d153fe8bb8b446821edde6b4c3541a667309bd8bfbee17fb75c3fa16d59cc1	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619297	0xa539dd97da4a55351e4195a2a667ed9c73997618e0d293f5243bf347ca5830c7	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19380	13619317	0xc08b677b43d1376a0e4ad3c4c3421560c4680408b17daf740d983cd0c9d9c0cc	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
