period	blockNumber	tx	coinbaseAddr	submittedAmount	bonusAmount	sum
19386	13791616	0xb725dff8f3e112c573c05e79e70513923c6ec75c594c4bc5e7a73e59361c5a52	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19386	13791636	0x39fd5ea55a74a5509b2ba925a8cbbf32f279a428563d523f6b266560be058b32	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19386	13791656	0x51ec091d64b7ab50235f95bc51496f31d86ba83048750ca1a17015c7a6d1e4d3	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19386	13791676	0xa585107d7f1879422118e8cebaafb2614008627d1c00c83e70069451ccdb0a06	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19386	13791696	0x9e957228b3913e88aa7d92c5c839fdeabf570963aaf82c6bc616ad573c0964e4	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19386	13791716	0x05ba0407175810f7420338174adc9ecda4da3f2cbe9c5fbb7a5c4f69db164db1	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19386	13791736	0x500d41661026d53e6802fb6161c8014f74472b84550ec333bbd11fba281179f2	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19386	13791756	0xc8e044ba4e87c53571f3a51a005caba18e7d62e1a98866b0907971ac057503b7	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19386	13791776	0x183e33d572f3dd9dec04244f34b10aa4a44b4385bb0a76a182e3af107771cdca	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19386	13791796	0xe8d51aab1282bd53d8a20d8e1563b636fb5ca86e82fbd3073c051b2491573cf9	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19386	13791816	0x89e4de2a7d18d0eb48178b45a534a3fe019287adbb45d2c499a8ea3f3d608ab2	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19386	13791836	0xe521918b3790df5e992a0605c68c1398c4d504ef1b024e5373b8a53040b0cff6	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
