period	blockNumber	tx	coinbaseAddr	submittedAmount	bonusAmount	sum
19382	13676617	0xe3ab8b8a0a970eb6720deab6d8bc03029cad16fad7b8e6bec02cfbc250c27f06	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676637	0x6374608d19f2650b84bce15ec72b15225c074c8c6e7ee44c3a4a1b2f25af78c8	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676657	0x4e83fe1a569a358343c2190778dba01b0d59039d36d1ec52b5d51a7f2e522c5c	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676677	0x97e800612993281abbe02ae26ffab878b228995c02c4deb1176d2bcb6cfb2c8a	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676697	0x6df91a7065e3d13eb100ed952b9c606b830e9d6b89bd00df37eb4c8e0867c9a0	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676717	0xb9a0f023aadb03bdff99a1a40ae5bb0add2dd45b5cc95c78bfd3f99ab0edf553	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676737	0x6ad7ad737e48bfd6e39972396d4a532c13460287e3a3bc7290a095a1d5beddc9	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676757	0x79297b7915aab9fa57478054652f881aef39e118bc9cfcff5ac64fad25460328	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676777	0x07ce406d77aef4472a6e6ad1a3ef3e204dc032f685af98fd6fdf62fa9e1ca729	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676797	0x337e73735ac5056b7a846389fd821155d761e71ddfbb3638f2f9023eab6ec84f	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676817	0x65a0ff4588de5e2a3482b584008c3f25bd9d56dfeecc7822086e39da0db4cb6e	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676837	0xbee47d7de3ef2c16145e6808f3eb8e9dd6372e46e3f721b9f969085311e5d7b0	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	10204760000000000	0	10204760000000000
19382	13676857	0x3e0fbee8e95f94a3d1127a44cfcd4d02d2dd36e8b3136d639e8febfb6238095c	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	34448040000000000	0	34448040000000000
19382	13676877	0xcabc9123d1e1cdc176a24417808ab9f4c0d09e01c098f2e2d8f164632c826123	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	18773280000000000	0	18773280000000000
19382	13676897	0x5b4f05a7e91118882aacd42135e7d46edd5964de3a04fed7d42984f6c8e6c596	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	6510300000000000	0	6510300000000000
19382	13676917	0xb46e75f91ef9214b033304c1ecc88536a7a04ec8f5e8e9c75f122051c95cadce	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13676937	0x42b752a4443510b115d088f3d11329ec37641fe0a7821d4033868511b18b3247	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	100650920000000000	0	100650920000000000
19382	13676957	0x13d447eecfdb7d2ac48a4de40e3d31177104942a08306ffe437995fd197f8dfe	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	24474080000000000	0	24474080000000000
19382	13676977	0x412e4c9e2e0b40404174bbe356bd3f18dd2e40346cb4941478c5a37428b02914	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	3658960000000000	0	3658960000000000
19382	13676997	0xc165cb478a493c4e6e730af9b83891f66ef2e92818e3e357a95a8987d46ddbba	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13677017	0x61a590a53b1d90d0eaa3ad2a51a58e3764f6a8c30903abfad4eba81a58eb2dc0	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13677037	0xfa4ee3463a17b342ba5f5e74bc06b067d3d14985137b4fbca7012528014d751c	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13677057	0x359031f118ac01ce8dadcb1acb31bfdbb39766253549005b3986a6d6f19476ab	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13677077	0x4e0f1dd5fd076bf8fee09fa3ca4f30fbbe3da8a705228319c3d41a80815812b9	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13677097	0xdb7c546f7014f87179a7a460661515b9d43cdc0d9acf00b0fdebc78220ef7045	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13677117	0xc8a2a33e5770fda4a88eff4dd73c00df7932fa19b62d0bf4f4fef8b692972518	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13677137	0x2d3030aaf80f81b9dcbecd2cbe8cef6ea35049e5fd2d05f68480ee03ac345bfb	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13677157	0x4d88547d47befe9132fcd1e1bafd67177b5215ddf28995f9502ddbcd5c361aa0	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19382	13677177	0xf96bf4fbd10fb4f76cac5eeef7bfc7ac2551d34397de78286e8f7f674003070e	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
