period	blockNumber	tx	coinbaseAddr	submittedAmount	bonusAmount	sum
19389	13878014	0xcb6ef807c6bbe89bd3efb2319962a79ccd98178b571ad90b55925117cd0e4577	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878032	0xf3992d664db9113f0bb57f02d5c84ad71ee4b2a0b9d6ee9c65c08113efad1635	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878047	0x30f18c0278493b7e087a15de0e487ef78712cf5b9bd555ee8b18f6a516703bfe	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878077	0x44982bbbb9f8ec555e45a16c32537b9ac6dcd02d32cce34b20f43a6f7239ef1a	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878098	0xac1e0363d76980c93aa9427809ddb41d39fd91a2fa9449e656c8e7057872409d	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878110	0x09d085fac002a518d407e9d3416d16cb58a2316a82aec513f7e2bab039ee37de	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	719940000000000	0	719940000000000
19389	13878140	0xae89b4d17f1ca8ff7992db4bed7a6c9fac1b2686e1f5418dac47038b731ffd89	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878161	0xaa4b7e11dce92eb59abd60e8c252cdf246e140e9fbfb1899f1fffeaefc18b2ca	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878178	0xe3213c44330d0b950deeb585c79fa2d98db8d8caf1d08f5e54fc5164c4e286a4	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878191	0x31981470dfc597436f5f3ab9c2225ae5e8072c2f45d0caae5d6270aff556a7bf	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878203	0xe184438b47b4fa6babf20a167a9a6f427cff90f6c485bd2fbd4a01707023ca41	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878220	0xe376d9ec46272af2bff5c9bc71eaac1f362a73bbdaf1278c3d9f364c1ca46f98	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878245	0x59b871797c136276b6a4186fc7a6fac7cc22ce22477bb1856f5f7bea187a6d78	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878266	0x713d4558bff2d08f0bffc94e8059ce6649bcbb040f14ef9ff15cb64cb9429253	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878287	0x8e56356baa44f4d245c7448c885586ef54910c722cef79be3681bf3bf830acd6	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878308	0x2069a775fec029b1a1e2d9337cfc936169a3ddfd475d15f280b8b9f6f42bf30a	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878319	0x1660ffec0a8da8abae7af072232a123efe6c98fee8973dea88c0764777aebb3b	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878342	0xacdb7c6ac8f63efbb201983ba0da4cb2e5ea103aff24c55a70f984e5998a87aa	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	91697100000000000	0	91697100000000000
19389	13878353	0xa773b59870b3908e38ff064e5ceb6f495c13767e52ac54d2f1c4c3096fd3052b	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	20383400000000000	0	20383400000000000
19389	13878371	0xf2051c90b959d847ce9e50e581ec12cc82883535a897f784d547d1206d0ec03e	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	3912620000000000	0	3912620000000000
19389	13878383	0xef0224e6b99170d443cd0c53341b64f11afb4ac64f6367a884c4b645ff6c7449	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878413	0x8f8d0f30cab9e9d994ef155c5d9b87587c82a0eb3a12992347062191c8ec7ee0	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	25270520000000000	0	25270520000000000
19389	13878434	0x5ac5dcd6d32221b41367060fa161d5b193ce812b06cac170d95707db2afdd264	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878455	0x9b3e88bfb570c80de4c52b481edf2ebe5d7621bb48ad2c0ee68c54fac1eedce2	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878476	0x93502bab76632d88eef7229e5fd4d6bebd3a64ef85d006ec9496d1b670f40c52	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878497	0x1974a10f6477c8ac4b23dc1c17368800bdcccf3e6478495871e2cd6e2ab55c14	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878518	0x501fdbd437d77272707d280a087379e1c4ad334729bd78aeda9d4c3cf15cab8b	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878539	0x7fe919ddf374878d6d6ad4228b463d6528a0a41c5b524bbba06c548439371a8f	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878554	0xd0857ad7e425a95ecc5c09674f9bb56293b63f753d6b3a948b562d44bffad791	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878581	0x6dd4999281aebb297b0eff627c9efd80c675de7208809af9e395f1cf830b5a73	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878593	0x6da9e89361681451ac9a95e1f1aa53d5067d3025d7ecda9a952ba36f1db5fbd7	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878619	0xd049cb132d4fafa291873e1b6383965b7d2e871cf5abc08f7eaf6398ddf14de8	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878635	0xcdd3da897ccef0f283427b0daa7d6c9b2c13284766d665aaf585644d19b98de0	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878665	0x86a289aa3287a98e0946a986d0f63be2b9ce4f66d07013ef928c637766fc5ee1	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878686	0x699c635083b8548adb936699c587262bfcf8612ddfedcf85cf01aa81672f4875	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878707	0x9a605a6912478991b234c258d79dfa2305036488c070e0606c961b9abf124aca	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878728	0x680634ae5739163ba603efc5b5546b2bce9a98446a4161a60b23688aeac923fe	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	420000000000000	0	420000000000000
19389	13878749	0x6ee59fab36a6b2def71f7657ecd381a8d78808ffe606a040eef3c8068062895c	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878762	0x4f098a640e60d8036fd6e11017e27afa3d4f4c521676f4ccb6867c6bdc8ad2c2	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878791	0x9b203ad2f704dfd3c2f8d6824514eec4a5dfc3578f86aea4e996093a8c45b251	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878812	0x58b4bc08f8fd221ec1c35d4571060b9eac9d22cf2c72d4b854a7a11f80e07949	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878833	0x2c0798d15ddb28d86590327dfa6e7a5b3d05dd4ff19446685e9491ff906e6d9d	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878845	0xf967427fdafceac373bd6a7cc8117b88221168ae5c7aa5ced69b3bef2fe16ced	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878865	0xd4a3a8279f7baf3434fefb3e2e9f513abccee3a6316eb1da18d0bf0a8e1258bf	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878896	0xc5753b2a447915055072d29af3bccf7221867e08c6bae9fe9fb087e97603ed80	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878915	0x34348a9787f162fbfcc9d43993304ffee33dcee504374694ceb2df0767cc1f03	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878938	0xfe6ab64f90909c7baaf1517d14f237702f5560d0df807964b1f7ded1ed44de7c	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878955	0xbf20b1e73edb42b5d96d54d29d50cbdaad3ea2a8eeba4f77832b51c42c971d37	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13878980	0xbd8228db3d8642ebb3a1253168c47d859c3881bb882344721f100ecc3b8317d0	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879001	0x448d49d512f9ed59437079387695cf8013ac284e028b560409eea26cf550447a	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	107181820000000000	0	107181820000000000
19389	13879022	0x31a01313696537b4b5e4d7e86f0af8fc8a3b2acf83527b94e5abc969834745c4	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879043	0x65217d75bc276bdd31e26697a925545c71e80e3bbad868e23b174ccf39501f6a	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879064	0xc9cf4ff4d88dfe282f2787504000d3400411e9e318851b84611f97290e12ffc2	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879085	0xe9d8465a4a42a644bbc8692e5dfdc8643150d872aa79fdc9bc5a0de2d48a3073	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879106	0xc85afb7281107d463d5b7dd93f8401e828c316d9526a445eb8412bef4167cbde	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879127	0x38e350b938331af75c7f9b8272fca2d49bf6c6239539e441de3e4c65b2c373b3	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879148	0xd710cba136fe2371ab9423676d7db3919daf9e4dcc55a07e45b44af1c4f7f9c7	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879169	0xefb3fa5836bae63385c5857950628a8a46995b8cfaf9856328aaca4c81cf2080	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879190	0x914a64350e1c6f2f6b9eba9f1b628c39df5d761679a654a5fc3fe7942a5dcbd6	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879206	0x64117d8158280dba2efb4c24d8a067a5fe6ab78d122669e1e5f7f3f80d03e407	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	939980000000000	0	939980000000000
19389	13879219	0xeecdc5a02437494088d20b9981284be1e126fea4ff735a2242644881ed7e9bbd	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	1611200000000000	0	1611200000000000
19389	13879232	0x263dc6f25df6fdb936383a231d54d286845ffa0cf081c05802ae6fffd22adfea	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879253	0x35a315d6b4e18d09e5b38caf1dbf12e3b53f522f2ab67bebc2c76aa5287f65d8	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
19389	13879274	0xb4ab48931b43e1d676e41c4e0af74e8059968de53f9b4cadbabaaf28c04e9356	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	0	0
