period	blockNumber	tx	coinbaseAddr	submittedAmount	bonusAmount	sum
19387	13820416	0xf8ece904eea88dafd4a314580c255061f799e603157a3037e05ccdfb207e12a6	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820436	0xc7dba1508da6fc259741fc62d70a67d45fe1d18eb2a13b99bf31bc83f8bfce7e	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820456	0x37ec9598bd072dc43cad3d38bd13d05086b6e2b4980776cee5aabd5339793aa4	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820476	0x54d22b0cc0182d79e450e41b787bbb295513c443e683bf26653468c7ad1bf237	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820496	0x5253a6befb07280885d4a785c49663c9e8a558813eb9f8ca2da1eb175c1d8ed0	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820516	0xa85ef8fecdd5bc2f69d1a1eb44bce18e341e942984eec4c59ce3bef2c2789674	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820536	0x1bdd7356e84266a3406dae8ee356000d56383de57528e1eb6f6f79b2a4f19413	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820556	0xbd300b91acaffbc272cbc08ac025264e6515ef19efb1cb69b7feee9bd5fc4c59	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820576	0x0684085c8393fc5236c5283244aaf0571dcbb00156ef1dfafd8e1d2d6cad6623	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820596	0x76ed484fc7ab113b611afe4f07b45a464809b55c24ddae592770787214acf10a	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820616	0x71b858de9d1356f5691dce09ad7b52b82fc4e55617058881fa5b63f598262fdc	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820636	0x8b5ce675c4cfc4919afb6ac4a720f1f89301f5c9dd9277899698d81fa7c95b30	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19387	13820656	0x2dfa9a8fde0ec13575846f432d51eaa0f241ad24cc271718f94abe02c4de04a5	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
