period	blockNumber	tx	coinbaseAddr	submittedAmount	bonusAmount	sum
19390	13906827	0x945abb56f685fe2f1a46f556b6b88bcf6da8d65f039602e261d40de6e1dd054d	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13906848	0x31ffa50efd4c9acfa8078825f5e7d60c6aa5bc982ddc2e638fc41ec849b18597	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13906869	0x721560813a0aac9d3cc567560bd6cd6f8b048c4deb2e14392975a7ec3e82a5ff	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13906890	0x9b7aeedc7428a5c48550a93b70e70c87bd868f025a06c1552faddad58bb41682	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13906911	0x96d67d55459c1f34a5f149ce0071cf0569504c5632954079f1c2e0eecc97c49e	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13906932	0x1b87a1328c6bf984808391341503c2286905025458c9be77a778f390995b6b83	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13906953	0x7ad67fc62ef82b0ecd967167ba422c1fd9480ad8e8261d2078b9464eb8d25c95	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13906974	0x9596cdebc21dc98232d36c2c65b99f677b872d133882148e55eb3c589a57bfcf	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13906986	0xf6a1aeedb81e079932d2f721aa47cb1939c36b82d321c982707594d77b0502fd	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907004	0xbe9c9ac8c5db0e6c51952be44c898899a5e4de6faa695b0b16276e35d4b4cdde	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907016	0xc685132e2c0a126633e83699fd3e4e57678916ff4536d59d37793071daf27b32	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907029	0x5d2ae8565d3c1302c108e856671f0c29385de2af2a3b961a4ba4ac03f0a191f2	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	20077280000000000	1000000000000000000	1020077280000000000
19390	13907042	0x2699901b7b1445d57c1c5949670bf7c9d3bd4bd6e8868148a806fd57864a0063	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	311891340000000000	1000000000000000000	1311891340000000000
19390	13907058	0x1dea2ba719fc9cfdbe642b982e04c29cfaeaa6326d1c449c1d2dc6b4a711fc60	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907069	0x25e4b183f64a9f378c01942f1c11007c2b36c2388b034875688f6d8c62498fc7	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907097	0x7fe304146f95c47f505e1b962b43a5b5e4b12ec36a20d5bc84261abf8c155d4b	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907115	0xdfd41d666ad2eb546df638f13b368c8c6d40b80dd65550a173298052d9e5d8af	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907142	0x7c9416bcfe78d2fa57f8cbc69b6fb87755f7e2c7a4090dd8bd6ad06a375ebcf5	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907163	0xb072ddbc64890845b16d7107a313917501a4451d86ddfa2a38bd659d28a2b123	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907184	0x8f81c88706d013778e83bbefd30aa9323b325f68424b819b335262cbf276b455	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907205	0xe10028105f0049a4ef36ab4c21ff2b13b32db65b645ea161bafb054fdd5602e1	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907226	0x4ff4b4b62c4f01c079f6e07a03e2d07bcb70d00c250205af9a8380f35947ca7a	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907247	0xe79426ee1908bd226fab74d464344c99dbd6b01d2e226f16bf850c1852722b59	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	3854600000000000	1000000000000000000	1003854600000000000
19390	13907262	0x1ed1d215d46c666380247b70f8539d4ea8064e1dfcef5db39c78f5dbaaf77e5a	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
19390	13907289	0xaf3018e8d2d805420462d773477b18384e68b260847748e4a08ad9ce6f77d056	0xE9bf2A788C27dADc6B169d52408b710d267b9bff	0	1000000000000000000	1000000000000000000
